"","1","2","3","4","5","6","7","8","9","10","11","12"
"DRbias",0.164707999705653,0.165012060980229,0.164791106257719,0.16494231179129,0.16506640397136,0.165490138901568,0.165139903995127,0.165273011189176,0.165464902028288,0.165442934898038,0.165380554412785,0.165271900025162
"DRrmse",0.294635804634941,0.293410951344507,0.293503442002534,0.294678302003677,0.298606238966295,0.304584763434233,0.309534324308167,0.318687909745575,0.325313879926254,0.332946866382706,0.339347441001248,0.346155051645551
"ICDRbias",0.0463628532235475,0.0465207701541807,0.0464117230523476,0.0468392144488055,0.0469972279138627,0.0471487164188239,0.0469241548270433,0.0468448501061766,0.0472871163485145,0.04721824622457,0.0467087674405,0.0467488735446352
"ICDRrmse",0.242104135598298,0.24326799750539,0.249230202877469,0.263915006121865,0.284389147271533,0.31022663061454,0.339822784683715,0.367078573627829,0.396282433494906,0.41848163559333,0.433721709599427,0.449780608358329
