"","1","2","3","4","5","6","7","8","9","10","11","12"
"DRbias",0.00696228326273291,0.00702987602545449,0.00695063263647234,0.00693007518456092,0.00701033809250165,0.00697133669727389,0.00699724784210644,0.00704994231229055,0.00706018866391788,0.00699428949270425,0.00701849872077415,0.00698338738378574
"DRrmse",0.229094621759254,0.224979019724726,0.221027178315731,0.217540851667324,0.214131496892766,0.211184321586533,0.208552674073375,0.206132415788046,0.204120827711328,0.202485119389449,0.201013044819381,0.199920400422031
"ICDRbias",0.0062589623599539,0.00626255668455835,0.00630127739976462,0.00630807610845796,0.00631137098678463,0.00627509246998084,0.00630008520386284,0.00631335798460417,0.00630735508220995,0.00632265992865793,0.00635314922470275,0.00629137672081075
"ICDRrmse",0.229058211698154,0.225153403042281,0.220928815282206,0.21740173986213,0.214171496519844,0.211024131963977,0.208360358068613,0.206054472417513,0.204148656846805,0.202473206595911,0.200954494779503,0.199924712712654
