"","1","2","3","4","5","6","7","8","9","10","11","12"
"DRbias",0.169689181271621,0.169358969559138,0.17008290311872,0.170693246012746,0.17066399149188,0.169962902132984,0.17021615847692,0.170274327396161,0.170421805128809,0.170385784938775,0.170249665812143,0.170413844759525
"DRrmse",0.322620775802972,0.324771959071358,0.330264301635829,0.34543755470063,0.366394840689042,0.391837624971187,0.422218702078992,0.448939753045478,0.471289432990572,0.498821334591675,0.523851556731505,0.534913960930395
"ICDRbias",0.042173453116571,0.041809573422788,0.0425587859191946,0.0419344600723186,0.0419502859527648,0.0421403223119717,0.0423744141202459,0.0420142187118587,0.0429411382971482,0.042044349490804,0.0428001841859414,0.0423388100295027
"ICDRrmse",0.295715459516577,0.307769213801009,0.335418536935206,0.384595712493558,0.460154415841363,0.540008128313515,0.626782688393507,0.685410333444376,0.769257841418475,0.800420011550595,0.850052508029305,0.875845499186542
