"","1","2","3","4","5","6","7","8","9","10","11","12"
"DRbias",0.00906252442282425,0.00902742649029857,0.00904313467801948,0.00914535397085168,0.00881582564241442,0.00888041757260073,0.00911409269753437,0.00910216659155572,0.00927399710094354,0.0091685607365321,0.00917499774922949,0.00883992545246744
"DRrmse",0.235054776181089,0.231898879870981,0.229670993777109,0.22822553255894,0.227661575410684,0.228181409927015,0.229714451157098,0.231880135759499,0.234769905682428,0.237470159954155,0.24076768362181,0.24371027210272
"ICDRbias",0.00727791741007226,0.00722132625934966,0.007415833442425,0.00714481952716051,0.00710198138238169,0.0073865428104744,0.00715657140520191,0.0074227103357324,0.00716821465268497,0.00723954556929501,0.00712939978460962,0.00745828973675406
"ICDRrmse",0.235129504795289,0.232028586777727,0.229977586536236,0.228705612594488,0.228562501828631,0.229255968626276,0.231143171692048,0.233504695279032,0.236768373205538,0.240035856622527,0.243000710134441,0.246345872525554
